salary,company,jobname,jobcont,jobid
15-20万/年,星河控股集团有限公司,报批报建主管/经理  （珠海）,职位描述：工作经验:5年以上房地产行业报批报建工作经验；知识技能:（1）熟悉房地产开发及报批报建流程，熟悉房地产行业相关法律、法规、政策；（2）具有较强的沟通协调能力；（3）有珠海区域相关政府部门资源者优先。工作职责:1.负责分管项目报批报建工作，参与协助其它项目报批报建工作2.参与拓展储备用地、负责项目土地使用权手续完善；3.负责分管项目前期各相关工作；4.负责《建设用地规划许可证》的办理及市政规划条件的输出；5.负责设计阶段政府各职能部门报建手续的办理；6.负责施工前期及施工过程相关的报批报建手续办理；7.负责预售查丈、竣工查丈手续办理，协助预售许可、房地产权初始登记办理；8.负责规划、环保、民防、燃气、电气、消防等专项工程验收手续办理，参与建筑工程竣工验收，负责竣工验收备案手续办理，协助入伙手续办理；9.负责职责范围内的内、外部沟通、协调工作；10.协助公司相关部门的对外协调工作；11.参与编制并执行《项目报批报建计划》；职能类别：其他举报分享,32
8000-9999/月,星河控股集团有限公司,电气工程师,职位描述：3年以上房地产企业电气工程管理经验精通：房地产开发项目的电气工程专业知识和管理流程熟悉：房地产行业相关法律、法规，国家质量认证体系相关知识、质量管理体系知识、质量控制专业知识以及文明、安全管理知识了解：了解国内外电气工程技术现状和发展趋势职能类别：房产项目配套工程师举报分享,20
20-30万/年,星河控股集团有限公司,工程管理部经理,职位描述：岗位要求：1、本科及以上学历，工民建类专业，年龄35岁以上；2、有8年以上房地产企业工程管理工作经验，有大中型房地产企业工程管理岗位工作经验者优先；3、精通工程项目管理专业知识、房地产开发企业的工程管理流程及建筑（安装）工程技术；4、熟悉房地产开发项目整体运作程序和国家及地方的有关政策法规；5、了解现代企业经营管理模式，房地产行业相关的财务、市场营销等方面的知识；6、计划、组织能力和综合统筹能力强，诚信正直、敬业负责；职能类别：房产项目配套工程师建筑工程管理/项目经理举报分享,19
15000-19999/月,星河控股集团有限公司,会计（负责营改增）,职位描述：1、会计学本科以上学历2、有大型企业3年以上工作经验，必须熟悉营改增业务职能类别：其他举报分享,23
15000-19999/月,星河控股集团有限公司,土建主管,职位描述：1、土木或工民建及相关专业本科以上学历2、5年以上房地产企业现场施工管理经验，熟悉工程管理工作流程职能类别：房产项目配套工程师结构/土木/土建工程师举报分享,17
10-15万/年,星河控股集团有限公司,招聘主管,职位描述：岗位职责：1、组织人员年度招聘计划的制定及报审执行；2、组织人员安排招聘、面试、入职等工作；3、根据集团要求，负责组织完善城市公司人力资源管理体系；4、配合其他部门和岗位的工作，完成上级领导交办的其他任务。任职要求：1、大学本科，管理类专业毕业，25-32岁，形象较好；2、3年房地产人力资源同岗位工作经验，有大型房企经验者优先；3、主动积极，善于沟通协调。职能类别：招聘经理/主管举报分享,15
salary,company,jobname,jobcont,jobid
8元/小时,UC优视（UC浏览器）,U客服（交易猫）,职位描述：岗位要求：1、有交易猫账号，体验过交易猫网站账号买卖交易流程的优先。2、大专以上学历。3、有充足灵活的业余***时间4、耐心、细心并有良好的服务意识与服务态度5、打字速度在60字/分以上岗位工作内容：1、负责回复用户在使用交易猫过程中的咨询、投诉、建议，确保信息传递的准确性和及时性，保证客户的满意度；2、准确记录用户信息，按照规定的流程、标准正确记录用户的需求和建议；3、灵活应对服务中出现的异常问题，并及时向相关人员及时反馈4、以公司利益为重，积极努力维护公司形象，遵守岗位规章制度，传播积极正能量。只要你有闲暇时间，都可以加入我们！此岗位属于***，薪酬8元/小时，工资按上班时长月结，岗前线上视频培训，无需坐班，在家办公，有意向者可直接点击下面链接进行报名（若点击链接无法直接跳转网页，可复制链接到浏览器中打开）我们期待全国各地的你们的加入！https://feedback.uc.cn/feedback/feedback/index?instance=u_jym&pfid=145&uc_param_str=einibicppfmivefrlantcunwsssvjbktchnnsnddds#index职能类别：兼职举报分享,20
5000-9000/月,UC优视（UC浏览器）,运维监控工程师,"职位描述：岗位描述:1. 对网络、服务器、业务异常进行监控；2. 对出现的故障按流程规范进行记录、跟进；3. 响应突发事件，按流程进行应急处理、报告和记录，协调运维工程师进行深度处理，主导沟通协助工作；4. 协助网络、服务器、机房设备变更实施、协助资深工程师进行故障处理；5. 严格执行监控值守与交接班制度，保证问题的及时发现、有效跟进与处理；岗位要求：1. 计算机及其相关专业大专或以上毕业；2. 能适应24小时三班值守、节日倒班工作制，具有高度的责任心及良好的应急响应和处理问题的能力；3. 开朗，良好的沟通能力，团队精神及服务意识, 能在压力下作；4. 熟悉网络设备及理论，能判断基本的网络故障，熟悉linux、Windows操作系统；5. 有在网络公司从事工程师、技术支持、系统集成、网管工作经验者优先；6. 具备语言开发能力(Perl,shell script,Python等)者优先；7. 了解开源监控软件如nagios ,cacti等优先。职能类别：技术支持/维护工程师举报分享",19
3500-8000/月,UC优视（UC浏览器）,游戏运营专员,职位描述：岗位职责：1.对九游电竞赛事进行组织，策划，推广、宣传。2.沟通并协调各家媒体，直播平台对赛事进行曝光。3.做好用户维护，将赛事影响到的用户沉淀入九游产品中。职位要求：1.热爱电子竞技类游戏（手游），战绩突出或有过电竞赛事策划者优先。2.感知市场热点能力，及时抓住市场热点，具有较强的赛事活动策划能力。3.具有较强的组织协调能力、判断力与决策能力，优秀的沟通能力。4.了解媒体传播方式，有媒体资源者优先。5.熟悉办公软件EXCEL。职能类别：产品专员网站营运专员关键字：游戏运营专员手游电竞类举报分享,17
