PHP程序员,4001-6000,深圳市爱角落网络科技有限公司广州办事处,广州 - 天河区,...python、java 开发经验的优先  3）熟悉常用的开发工具、调试工具的使用，逻辑思维清晰、严谨，能够迅速准确的定位问题以及相关的解决方案；  4）熟悉常用数据结构和算法   5）工作积极主动、严谨负责。学习能力强，有一定的技术狂热，愿意学习和接受新知识和技术，有一定的英语阅...
软件测试工程师（自动化测试）,4001-6000,广州中软职业技能培训有限公司,广州 - 天河区,...Python语言，有自动化测试经验者优先考虑。  4、了解sql及数据库操作，了解linux常用操作。  5、工作细心，耐心，有责任心，有较强的沟通能力和团队协作精神。
初级PHP工程师,2001-4000,深圳市爱角落网络科技有限公司广州办事处,广州 - 白云区,...python、java 开发经验的优先  3）熟悉常用的开发工具、调试工具的使用，逻辑思维清晰、严谨，能够迅速准确的定位问题以及相关的解决方案；  4）熟悉常用数据结构和算法   5）工作积极主动、严谨负责。学习能力强，有一定的技术狂热，愿意学习和接受新知识和技术，有一定的英语阅...
服务端开发工程师（应届生亦可，急招）,4001-6000,中软国际有限公司,广州 - 天河区,岗位职责：  1、服务器端核心模块与逻辑代码实现；  2、负责应用服务端的设计、开发、维护；  3、根据业务及产品需求制定技术方案。     任职要求：  1、有简单基础，会用数据结构与算法；  2、了解 Python或者 PHP；  3、了解 mysql/mongo/HTTP/TC...
测试工程师,6001-8000,广州万惠投资管理有限公司,广州,...python，javascript，shell；  5、熟悉自动化测试脚本编写。
软件测试开发工程师,面议,广州万惠投资管理有限公司,广州,专业知识及技能要求：  1、至少2年以上移动端测试经验，熟悉Android、iOS应用软件测试方法；                                                              2、至少掌握一门开发语言，Python、Java、OC(Sw...
运维工程师,面议,广州深海软件股份有限公司,广州 - 天河区,...Python等脚本语言尤佳；      4、有较强的学习能力，热爱系统管理工作，有高度的责任心，喜欢钻研系统管理相关技术；      5、对系统安全，入侵检测等有一定了解，能根据服务器的情况制定相应安全措施；      6、具有游戏运维经验、大型网站运维经验者优先。
运维开发工程师,6001-8000,广州凡科互联网科技股份有限公司,广州,岗位描述：  1、负责中国最大的自助建站系统的后端服务器的维护。  2、负责跟进处理用户反馈的网站线路问题及自动化工具的编写。  3、负责跟进产品上线或者突发事件时产生问题的紧急处理。     任职要求：  1、熟悉linux服务器常用命令，熟悉python或者shell脚本语言编写...
系统工程师,面议,广州因孚网络科技有限公司,广州,...python等脚本编程能力；  4、熟悉基础基本的html，javascript，css网页设计；  5、熟悉交换机、防火墙的网络设备的设置与管理；  6、具备良好的专业技术能和学习能力及应急处理能力；  7、具备优秀的团队协助和沟通能力，高度的责任感。
研发工程师,8001-10000,南宁市迈越软件有限责任公司,广州,"1) 计算机相关本科专业毕业 2）需要掌握python， perl  ,  javascript  ，html5 3）需要精通linux，对KVM内核虚拟化有研究 4) 具备较强逻辑思维能力，具备较强的沟通能力 5）有基于KVM内核虚拟化软件的开发经验 6) 能够分析需求，并设计系统..."
运维经理,10001-15000,深圳市彩讯科技有限公司,广州,...Python任一脚本编程及日常维护；  4、掌握数据库原理及SQL，熟悉Oracle/Mysql数据库部署与应用；  5、熟悉开源分布式应用监控解决方案，如Nagios/Zabbix/Icinga/Ganglia等；  6、了解自动化运维框架及工具，如puppet、ansible...
测试工程师,6001-8000,广东中配互联网科技有限公司,广州,...Python、Perl、Ruby等；  6、具有电商、手机APP、微信测试经验的优先。     岗位职责：  1、负责公司项目的性能分析及测试方案设计；  2、负责公司项目的性能测试、压力测试、接口测试、功能测试；  3、负责公司项目的性能测试结果分析，定位性能瓶颈及优化方案； ...
Java工程师,面议,中企网络通信技术有限公司广州分公司,广州,"...Python, JSF, hibernate, Web Technologies (DHTML, Javascript, CSS, AJAX), SQL, Oracle PL/SQL技术；  5、有VB, Unix Shell Script, Enterprise Applica..."
服务器端开发工程师,面议,网易集团,广州,...Python及其它脚本语言者优先考虑，熟悉linux下应用程序开发者优先考虑。
WXG02-微信测试开发工程师（广州）,面议,深圳腾讯计算机系统有限公司 ,广州,"工作职责：  测试大规模软件项目（比如微信），并开发测试工具； 设计具有高度扩展性、可靠性强、与高性能的测试框架； 优化软件开发周期，提高产品质量，推动内建的产品质量； 测试方法/工具的创新；  工作要求：  本科（含）以上学历，成绩优秀； 至少精通以下一种语言: C/C++, Java 或"
游戏运维,面议,成都余香信息科技有限公司,广州,...Python语言任意一种语言优先  5、有较强的学习能力，热爱系统管理工作，有高度的责任心，喜欢钻研系统管理相关技术  6、对系统安全，入侵检测等有一定了解，能根据服务器的情况制定相应安全措施  7、具有网游运维经验、大型网站运维经验者优先  8、熟悉网络原理 具备一定的网络排障...
ETL工程师,8001-10000,广州万惠投资管理有限公司,广州,...python开发，熟悉主流数据库技术如：MySql，Oralce等；  2、有金融行业者优先； 3、有较强的数据建模能力。
运维工程师,10001-15000,广州市贝聊信息科技有限公司,广州 - 天河区,...python等脚本编程语言；  具有很强的故障排查能力，重视流程规范，有很好的技术敏感度；  拥有良好的项目管理能力和流程管理能力，敏锐的风险意识和良好的风险识别能力；  具备较强的沟通能力与推动能力，能够带领工程师完成复杂项目
hadoop开发工程师,15001-20000,广东微媒天创新科技有限公司,广州 - 海珠区,...Python等语言之一更优； 2.熟悉生产系统研发、运维及管控，具有相应系统架构和核心部件研发能力和经验，具有良好的流程平台体系整合和构架能力； 3.熟悉Linux操作系统和网络工作原理，具有良好生产系统基础设施知识背景； 4.熟悉云计算及解决方案，以及在互联网金融领域中的主流应...
高级基础运营工程师,20001-30000,广东微媒天创新科技有限公司,广州 - 海珠区,...Python等； 4、具有较强的网络知识，能快速诊断机房网络问题； 5、学习能力强，工作积极主动，对技术敏感而细致，善于思考，乐于发现，对解决具有挑战性问题充满激情； 6、良好的沟通协调能力和强烈的责任心。
运维开发工程师,面议,广州市赛酷比软件有限公司,广州 - 天河区,...python、php等任一种语言； 4、有python项目开发或开源项目维护者优先； 5、熟练掌握linux操作系统的管理及调优，熟悉LNMP配置使用，对shell有一定的了解； 6、对系统安全，入侵检测等有一定了解，能根据情况制定相应安全措施； 7、有高度的责任心...
高级\资深信息安全工程师（web防护方向）,15001-20000,唯品会(中国)有限公司 ,广州,...python、shell等，可利用相关语言编写简易测试脚本或工具；  具有web渗透测试经验。
工作地点位于郑州的linux运维,面议,郑州珑凌科技有限公司,广州,【岗位要求】  1.2年以上纯Linux系统运维工作经验  2.懂思科交换机的配置 至少要会划分vlan  3.能写复杂的linux脚本，python和shell至少熟练掌握其中一项  4.能看懂英文文档  5.悟性高，执行力强     【工作内容】  负责运维 lonlife.cn...
高级前端开发工程师,面议,唯品会(中国)有限公司 ,广州,...Python/PHP等）；  5、对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作；  6、有高度的责任心、团队合作精神和专业意识；  7、有旧项目重构，性能优化项目经验者优先。
高级Java工程师,面议,唯品会(中国)有限公司 ,广州,"...Python、Perl其中至少一种脚本语言。 3. 熟悉Spring、mybatis、Hibernate等框架体系，并有实际开发经验和和设计理念，有独到见解者更佳。 熟悉memcached , redis等缓存的特性; 4. 熟悉MongoDB、rabbitMq/activeMQ..."
